case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
football,stage4,2,0.033333,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00002.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,2,0.033333,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00002.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,46,1.500000,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00046.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,46,1.500000,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00046.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,242,8.033333,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00242.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,242,8.033333,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00242.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,1,0.000000,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00001.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,1,0.000000,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00001.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,122,4.033333,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00122.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
football,stage4,122,4.033333,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/10_football/frames/00122.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,ball_center|ball_boundary|ball_bottom|background|unclear,foot_on_ball_boundary|floor_support_ball_bottom|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
