source_type,stage,frame,query_id,query_type,question,evidence_path,raw_answer,parsed_label,confidence,pass_gate,repair_action,affected_constraint,changed_optimizer_behavior
vlm,stage0,1,,target_mask_check,Does the highlighted mask correspond to the target football?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage0/evidence/frame00001_target_mask_check.png,,yes,,pass,accept_candidate,visual_overlay_residual,1
vlm,stage1,1,,keypart_identity_check,Which football part is highlighted?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00001_keypart_identity_check.png,,ball_center,,pass,accept_candidate,audit_report,1
vlm,stage1,122,,keypart_identity_check,Which football part is highlighted?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00122_keypart_identity_check.png,,ball_center,,pass,accept_candidate,audit_report,1
vlm,stage1,242,,keypart_identity_check,Which football part is highlighted?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00242_keypart_identity_check.png,,ball_center,,pass,accept_candidate,audit_report,1
vlm,stage1,1,,track_stability_check,Is the highlighted reference point or part stable and visually trackable across neighboring frames?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00001_track_stability_check.png,,stable,,pass,accept_candidate,visual_overlay_residual,1
vlm,stage1,122,,track_stability_check,Is the highlighted reference point or part stable and visually trackable across neighboring frames?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00122_track_stability_check.png,,stable,,pass,accept_candidate,visual_overlay_residual,1
vlm,stage1,242,,track_stability_check,Is the highlighted reference point or part stable and visually trackable across neighboring frames?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage1/evidence/frame00242_track_stability_check.png,,stable,,pass,accept_candidate,visual_overlay_residual,1
vlm,stage2,2,,contact_relation_check,What is the highlighted object contact region closest to?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage2/evidence/frame00002_contact_relation_check.png,,foot_kick_touch_ball_boundary,,pass,accept_candidate,contact_anchor_residual,1
vlm,stage2,44,,contact_relation_check,What is the highlighted object contact region closest to?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage2/evidence/frame00044_contact_relation_check.png,,foot_kick_touch_ball_boundary,,pass,accept_candidate,contact_anchor_residual,1
vlm,stage2,242,,contact_relation_check,What is the highlighted object contact region closest to?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage2/evidence/frame00242_contact_relation_check.png,,foot_kick_touch_ball_boundary,,pass,accept_candidate,contact_anchor_residual,1
vlm,stage2,1,,contact_relation_check,What is the highlighted object contact region closest to?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage2/evidence/frame00001_contact_relation_check.png,,foot_kick_touch_ball_boundary,,pass,accept_candidate,contact_anchor_residual,1
vlm,stage2,122,,contact_relation_check,What is the highlighted object contact region closest to?,samples_known_object/10_football/results/clean_ablation_no_audio/vlm/stage2/evidence/frame00122_contact_relation_check.png,,foot_kick_touch_ball_boundary,,pass,accept_candidate,contact_anchor_residual,1
