case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
volleyball,stage0,1,0.000000,target_mask_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00001_target_mask_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00001_target_mask_check.png,mask_or_bbox_overlay,Does the highlighted mask correspond to the target volleyball?,yes|partially|wrong_object|missing_object|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage0,121,5.000000,target_mask_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00121_target_mask_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00121_target_mask_check.png,mask_or_bbox_overlay,Does the highlighted mask correspond to the target volleyball?,yes|partially|wrong_object|missing_object|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage0,240,9.958333,target_mask_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00240_target_mask_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage0/evidence/frame00240_target_mask_check.png,mask_or_bbox_overlay,Does the highlighted mask correspond to the target volleyball?,yes|partially|wrong_object|missing_object|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,1,0.000000,keypart_identity_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00001_keypart_identity_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00001_keypart_identity_check.png,semantic_part_overlay,Which volleyball part is highlighted?,ball_center|ball_boundary|ball_bottom|background|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,121,5.000000,keypart_identity_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00121_keypart_identity_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00121_keypart_identity_check.png,semantic_part_overlay,Which volleyball part is highlighted?,ball_center|ball_boundary|ball_bottom|background|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,240,9.958333,keypart_identity_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00240_keypart_identity_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00240_keypart_identity_check.png,semantic_part_overlay,Which volleyball part is highlighted?,ball_center|ball_boundary|ball_bottom|background|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,1,0.000000,track_stability_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00001_track_stability_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00001_track_stability_check.png,"track_triplet_overlay:ball_center,ball_boundary,ball_bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,121,5.000000,track_stability_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00121_track_stability_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00121_track_stability_check.png,"track_triplet_overlay:ball_center,ball_boundary,ball_bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage1,240,9.958333,track_stability_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00240_track_stability_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage1/evidence/frame00240_track_stability_check.png,"track_triplet_overlay:ball_center,ball_boundary,ball_bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,10,0.375000,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage2/evidence/frame00010_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_only/vlm/stage2/evidence/frame00010_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,case_config_default,ball_center|ball_boundary|ball_bottom|background|unclear,both_hands_on_ball_center|left_hand_on_ball_center|right_hand_on_ball_center|floor_support|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
