case,loss_family,ablation_flag,result_name,stage0_3_returncode,stage4_returncode,candidate_exists,candidate_path,factor_ledger_exists,disabled_factor_absent,forbidden_factor_kinds_found,compiled_factor_kinds,frozen_vlm_source,ready_for_metrics
basketball,metric_depth,disable_metric_depth,paper_loss_no_metric_depth,,,True,samples_known_object/01_basketball/results/paper_loss_no_metric_depth/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;point_reprojection;pose_prior;regularization;static_freeze;temporal_acceleration;temporal_velocity,samples_known_object/01_basketball/results/benchmark_vlm_qwen/vlm,True
mug,metric_depth,disable_metric_depth,paper_loss_no_metric_depth,,,True,samples_known_object/02_mug/results/paper_loss_no_metric_depth/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;contact_relative_velocity;mask_silhouette;point_reprojection;pose_prior;regularization;static_freeze;support_and_penetration;temporal_acceleration;temporal_velocity,samples_known_object/02_mug/results/benchmark_vlm_qwen/vlm,True
mug,contact_distance,disable_contact_distance,paper_loss_no_contact_distance,,,True,samples_known_object/02_mug/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_relative_velocity;mask_silhouette;metric_depth;point_reprojection;pose_prior;regularization;static_freeze;support_and_penetration;temporal_acceleration;temporal_velocity,samples_known_object/02_mug/results/benchmark_vlm_qwen/vlm,True
mug,contact_relative_velocity,disable_contact_relative_velocity,paper_loss_no_contact_relative_velocity,,,True,samples_known_object/02_mug/results/paper_loss_no_contact_relative_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;mask_silhouette;metric_depth;point_reprojection;pose_prior;regularization;static_freeze;support_and_penetration;temporal_acceleration;temporal_velocity,samples_known_object/02_mug/results/benchmark_vlm_qwen/vlm,True
mug,support_penetration,disable_support_penetration,paper_loss_no_support_penetration,,,True,samples_known_object/02_mug/results/paper_loss_no_support_penetration/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;contact_relative_velocity;mask_silhouette;metric_depth;point_reprojection;pose_prior;regularization;static_freeze;temporal_acceleration;temporal_velocity,samples_known_object/02_mug/results/benchmark_vlm_qwen/vlm,True
mug,temporal_acceleration,disable_temporal_acceleration,paper_loss_no_temporal_acceleration,,,True,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;contact_relative_velocity;mask_silhouette;metric_depth;point_reprojection;pose_prior;regularization;static_freeze;support_and_penetration;temporal_velocity,samples_known_object/02_mug/results/benchmark_vlm_qwen/vlm,True
stick,visual_geometry,disable_visual_geometry,paper_loss_no_visual_geometry,reused_frozen,0,True,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;pose_prior;regularization;static_freeze;temporal_acceleration;temporal_velocity,samples_known_object/11_stick/results/benchmark_vlm_qwen,True
stick,temporal_velocity,disable_temporal_velocity,paper_loss_no_temporal_velocity,reused_frozen,0,True,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_distance;line_reprojection;pose_prior;regularization;static_freeze;temporal_acceleration,samples_known_object/11_stick/results/benchmark_vlm_qwen,True
chair,visual_geometry,disable_visual_geometry,paper_loss_no_visual_geometry,reused_frozen,1,False,,False,False,,,samples_known_object/05_chair/results/benchmark_vlm_qwen,False
chair,support_penetration,disable_support_penetration,paper_loss_no_support_penetration,reused_frozen,1,False,,False,False,,,samples_known_object/05_chair/results/benchmark_vlm_qwen,False
chair,temporal_velocity,disable_temporal_velocity,paper_loss_no_temporal_velocity,reused_frozen,1,False,,False,False,,,samples_known_object/05_chair/results/benchmark_vlm_qwen,False
back_view_basketball,contact_distance,disable_contact_distance,paper_loss_no_contact_distance,reused_frozen,0,True,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,contact_relative_velocity;metric_depth;point_reprojection;pose_prior;static_freeze;temporal_acceleration,samples_known_object/12_back_view_basketball/results/contact_surface_candidate,True
pingpong_wall,temporal_acceleration,disable_temporal_acceleration,paper_loss_no_temporal_acceleration,reused_frozen,0,True,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,True,True,,metric_depth;point_reprojection;pose_prior;static_freeze,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit,True
