case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,used_for_anchor_update,used_for_contact_residual,used_for_report
basketball,stage0,1,target_mask_check,yes,pass,accept_candidate,0,0,1
basketball,stage1,1,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
basketball,stage1,97,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
basketball,stage1,192,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
basketball,stage1,1,track_stability_check,stable,pass,accept_candidate,1,0,1
basketball,stage1,97,track_stability_check,stable,pass,accept_candidate,1,0,1
basketball,stage1,192,track_stability_check,stable,pass,accept_candidate,1,0,1
basketball,stage2,2,contact_relation_check,hand_on_ball_boundary,pass,accept_candidate,0,1,1
basketball,stage2,103,contact_relation_check,hand_on_ball_boundary,pass,accept_candidate,0,1,1
basketball,stage2,189,contact_relation_check,hand_on_ball_boundary,pass,accept_candidate,0,1,1
basketball,stage2,1,contact_relation_check,hand_on_ball_boundary,pass,accept_candidate,0,1,1
basketball,stage2,97,contact_relation_check,hand_on_ball_boundary,pass,accept_candidate,0,1,1
basketball,stage3,1,overlay_alignment_check,aligned,pass,accept_candidate,0,0,1
basketball,stage3,97,overlay_alignment_check,aligned,pass,accept_candidate,0,0,1
basketball,stage3,192,overlay_alignment_check,aligned,pass,accept_candidate,0,0,1
basketball,stage4,2,anchor_update_check,no_change,pass,accept_candidate,1,0,1
basketball,stage4,103,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,189,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,1,anchor_update_check,no_change,pass,accept_candidate,1,0,1
basketball,stage4,97,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,2,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,103,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,189,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,1,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage4,97,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage5,1,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
basketball,stage5,97,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
basketball,stage5,192,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
basketball,stage6,1,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage6,97,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage6,192,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage7,50,loss_diagnostic_check,normal,pass,accept_candidate,0,0,1
basketball,stage7,51,loss_diagnostic_check,unclear,unclear,unclear_no_update,0,0,1
basketball,stage7,49,loss_diagnostic_check,normal,pass,accept_candidate,0,0,1
basketball,stage7,1,loss_diagnostic_check,normal,pass,accept_candidate,0,0,1
basketball,stage7,97,loss_diagnostic_check,visual_spike,reject,mark_for_report_only,0,0,1
