blind_id,case,arm,model,contact_timing,contact_location,object_motion,physical_plausibility,temporal_smoothness,interaction_realism,overall_quality,body_interpenetration,excessive_object_speed,confidence,evidence
scene_001,basketball,vlm,gemini-3.6-flash,2,2,2,2,4,2,2,major,none,0.9,"The basketball interpenetrates the character's inner thigh and crotch at the start of the video. Additionally, the ball motion lacks ground bounce physics and glides unnaturally relative to the hand."
scene_002,basketball,vlm_audio,gemini-3.6-flash,3,2,4,2,4,3,3,major,none,0.9,"At 00:00, the basketball clearly interpenetrates the human thighs/groin area. The dribbling motion is smoothly animated, but hand contact remains slightly loose and floating."
scene_003,football,vlm,gemini-3.6-flash,1,2,1,1,2,1,1,major,major,0.95,"The soccer ball floats in mid-air near the body without realistic contact or support, showing sudden trajectory jumps between frames (e.g., leaping from foot level to chest height between 00:01 and 00:02) and failing to obey gravitational momentum or causal interaction forces."
scene_004,football,vlm_audio,gemini-3.6-flash,1,1,1,1,2,1,1,minor,major,0.95,"The soccer ball instantly pops up from the ground to chest height between 00:01 and 00:02 without physical contact, then floats unnaturally in mid-air violating gravity and momentum."
scene_005,mug,vlm,gemini-3.6-flash,3,2,3,2,4,2,2,major,none,0.9,"The mug severely penetrates the human face and chin area during the drinking gesture between 00:02 and 00:03, alongside hand-object interpenetration."
scene_006,mug,vlm_audio,gemini-3.6-flash,2,2,2,2,2,2,2,minor,minor,0.9,"The mug floats near the hand without a stable grasp, penetrates the face/mouth region during the drinking action (00:02-00:03), and abruptly disappears at 00:07 before reappearing at 00:08."
scene_007,chair,vlm,gemini-3.6-flash,5,4,4,4,5,4,4,minor,none,0.95,"The human grips a wooden folding chair by its backrest frame, moves it across the floor in sync with body motion, and places it back down stably. Hand contact locations are accurate with only minor hand-object interpenetration."
scene_008,chair,vlm_audio,gemini-3.6-flash,5,4,5,5,5,5,5,none,none,0.95,"The human lifts, carries, turns, and places down a folding chair with natural contact timing, smooth motion, and realistic physical coupling."
scene_009,stick,vlm,gemini-3.6-flash,4,4,4,4,5,4,4,minor,none,0.9,"The human model executes staff manipulation movements smoothly throughout the sequence. The staff remains naturally coupled to the hands with stable alignment and realistic trajectories, exhibiting only minor hand-object interpenetration during rotational transitions."
scene_010,stick,vlm_audio,gemini-3.6-flash,5,5,5,5,5,5,5,none,none,0.95,"The human manipulates a staff smoothly around the body with precise hand contacts, highly realistic physical coupling, smooth object trajectories, and no interpenetration."
scene_011,back_view_basketball,vlm,gemini-3.6-flash,2,2,2,2,3,2,2,minor,none,0.9,"The basketball floats near the character without realistic ground bounces or firm hand contact, showing minor interpenetration near the hip and hands."
scene_012,back_view_basketball,vlm_audio,gemini-3.6-flash,2,2,2,2,3,2,2,major,none,0.9,"The basketball floats unnaturally around the human subject's legs and hip area without physical support or proper hand contact, exhibiting visible interpenetration with the body in frames 00:04 to 00:05."
scene_013,volleyball,vlm,gemini-3.6-flash,1,1,1,1,2,1,1,major,none,0.95,"The ball floats unrealistically in mid-air around the human figure, failing to connect with the hands during throwing/catching gestures and interpenetrating the head and shoulder."
scene_014,volleyball,vlm_audio,gemini-3.6-flash,3,4,3,3,3,3,3,minor,none,0.9,"The human performs a basketball shot and hold sequence with good hand alignment and realistic trajectory early on, but around 00:06 the ball suddenly drops to the ground before resetting to hand level, creating a noticeable temporal jump."
scene_015,pingpong,vlm,gemini-3.6-flash,2,2,2,2,3,2,2,minor,none,0.9,The ping pong ball floats unnaturally in mid-air near the human body and racket without realistic strike dynamics or trajectory physics. The racket also exhibits minor clipping with the shoulder/neck region during the follow-through around 00:06.
scene_016,pingpong,vlm_audio,gemini-3.6-flash,2,2,2,1,2,1,1,major,none,0.95,"The ping pong ball floats independently without physical impulses from paddle hits, and the paddle severely interpenetrates the human shoulder and neck around 00:06."
scene_017,suitcase,vlm,gemini-3.6-flash,3,3,3,2,4,3,3,major,none,0.9,"The human initially pulls the rolling suitcase with plausible motion, but towards the end (00:08-00:09) the human's lower body and leg interpenetrate with the suitcase and handle."
scene_018,suitcase,vlm_audio,gemini-3.6-flash,3,3,3,2,3,2,2,major,none,0.9,"The human walks while pulling a wheeled box/suitcase. In frame 00:05, the leg interpenetrates significantly through the suitcase body. Additionally, the hand hovers above the handle with a visible gap in frames 00:08-00:09."
