case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
chair,stage4,20,0.791667,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00020.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,20,0.791667,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00020.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,82,3.375000,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00082.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,82,3.375000,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00082.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,144,5.958333,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00144.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,144,5.958333,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00144.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,1,0.000000,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00001.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,1,0.000000,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00001.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,89,3.666667,anchor_update_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00089.png,,before_after_anchor_update_overlay,Does the proposed anchor/contact update improve or preserve the object alignment without creating a wrong contact?,improvement|no_change|worse_overlay|wrong_contact|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
chair,stage4,89,3.666667,temporal_motion_check,/mnt/hdd/AudioHOI/samples_known_object/05_chair/frames/00089.png,,temporal_triplet_overlay,Does the highlighted object move consistently across neighboring frames?,consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,mistral_llm_schema_validated,top_rail|right_top_rail_endpoint|left_top_rail_endpoint|backrest|backrest_hole|seat|front_leg|rear_leg|stretcher|foot|seat_edge|background|unclear,left_palm_on_right_top_rail_endpoint|right_palm_on_left_top_rail_endpoint|left_palm_on_top_rail|right_palm_on_top_rail|floor_support_foot|left_palm_lift_seat_edge|right_palm_lift_seat_edge|floor_support|static_after_place|stable_top_rail_endpoints|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
