frame,time,handle_visible,visibility,visible_side,occlusion_reason,handle_shape_visible,handle_body_relation,hand_contact_visible,hand_contact_part,handle_contact,body_contact,rim_contact,hand_occludes_handle,body_self_occludes_handle,yaw_anchor_quality,recommended_visibility_constraint,confidence,short_reason
1,0.000000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
2,0.041667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
3,0.083333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
4,0.125000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
5,0.166667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
6,0.208333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
7,0.250000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
8,0.291667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle of the mug, with the handle fully visible and not occluded."
9,0.333333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making it fully visible and unoccluded."
10,0.375000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making it fully visible and unoccluded."
11,0.416667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
12,0.458333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making it fully visible and unoccluded."
13,0.500000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making handle contact and visibility certain."
14,0.541667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
15,0.583333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
16,0.625000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle of the mug, with the handle fully visible and not occluded."
17,0.666667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is clearly gripping the left-side handle loop, making it fully visible and unoccluded."
18,0.708333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
19,0.750000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Handle is clearly visible on left side, hand is gripping the handle loop."
20,0.791667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
21,0.833333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
22,0.875000,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
23,0.916667,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasps the left-side handle, fully visible and not occluded."
24,0.958333,True,visible,left,none,clear_c_loop,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasping the left-side handle of the mug, with the handle fully visible and not occluded."
25,1.000000,True,visible,left,none,partial_arc,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand is gripping the left-side handle, making it clearly visible and attached to the mug body."
26,1.041667,True,visible,left,none,partial_arc,attached_and_consistent,True,handle,True,False,False,False,False,high,force_visible,0.95,"Hand clearly grasping the left-side handle of the mug, with handle partially visible and not occluded."
27,1.083333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is on far side, hidden by mug body; hand grips mug body, not handle."
28,1.125000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
29,1.166667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
30,1.208333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
31,1.250000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
32,1.291667,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
33,1.333333,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
34,1.375000,False,hidden,unknown,far_side,not_visible,not_visible,True,body,False,True,False,False,True,low,force_hidden_far_side,0.95,"Handle is hidden on the far side of the mug, occluded by the mug body itself."
