case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,allow_anchor_update,allow_contact_residual,allow_pose_refine,allow_factor_arbitration,report_only,is_effective
pingpong_wall,stage1,1,keypart_identity_check,physical_ball_candidate,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage1,121,keypart_identity_check,physical_ball_candidate,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage1,240,keypart_identity_check,physical_ball_candidate,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage1,1,track_stability_check,stable,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage1,121,track_stability_check,stable,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage1,240,track_stability_check,stable,pass,accept_candidate,1,0,1,0,0,1
pingpong_wall,stage2,11,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage2,177,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage2,229,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage2,1,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage2,121,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage2,11,keypart_visibility_check,detection_failure,reject,keep_previous_anchor,0,0,0,0,0,1
pingpong_wall,stage2,177,keypart_visibility_check,out_of_frame,pass,propagate_projected_ballistic_trajectory,0,0,1,0,0,1
pingpong_wall,stage2,229,keypart_visibility_check,detection_failure,reject,keep_previous_anchor,0,0,0,0,0,1
pingpong_wall,stage2,1,keypart_visibility_check,detection_failure,reject,keep_previous_anchor,0,0,0,0,0,1
pingpong_wall,stage2,121,keypart_visibility_check,detection_failure,reject,keep_previous_anchor,0,0,0,0,0,1
pingpong_wall,stage3,1,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage3,121,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage3,240,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage4,1,anchor_update_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage4,1,contact_relation_check,paddle_face,pass,accept_candidate,0,1,1,0,0,1
pingpong_wall,stage4,1,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage4,1,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
pingpong_wall,stage4,11,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
pingpong_wall,stage4,38,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
pingpong_wall,stage4,110,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
pingpong_wall,stage4,177,constraint_reliability_check,contact_relation_reliable,pass,downweight_correspondence,0,0,1,1,0,1
pingpong_wall,stage4,192,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
pingpong_wall,stage4,220,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
pingpong_wall,stage4,229,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
