case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
pingpong,stage4,11,0.416667,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00011_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00011_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,177,7.333333,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00177_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00177_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,229,9.500000,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00229_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00229_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,1,0.000000,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00001_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00001_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,121,5.000000,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00121_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00121_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,11,0.416667,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00011_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00011_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,177,7.333333,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00177_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00177_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,229,9.500000,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00229_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00229_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,1,0.000000,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00001_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00001_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
pingpong,stage4,121,5.000000,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00121_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/results/scientific_audio_ablation/visual_vlm_only/vlm/stage4/evidence/frame00121_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config_default,ball_center|ball_boundary|background|unclear,hand_on_ball_center|paddle_on_ball_center|wall_on_ball_center|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
