case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
volleyball,stage2,1,0.000000,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00001_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00001_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,62,2.541667,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00062_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00062_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,222,9.208333,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00222_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00222_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,119,4.916667,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00119_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00119_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,240,9.958333,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00240_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00240_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,1,0.000000,keypart_visibility_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,visibility_crop_or_overlay,Is the highlighted key volleyball part visible in this frame?,visible|partially_visible|hidden|occluded_by_human|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,62,2.541667,keypart_visibility_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00062_keypart_visibility_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00062_keypart_visibility_check.png,visibility_crop_or_overlay,Is the highlighted key volleyball part visible in this frame?,visible|partially_visible|hidden|occluded_by_human|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,222,9.208333,keypart_visibility_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00222_keypart_visibility_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00222_keypart_visibility_check.png,visibility_crop_or_overlay,Is the highlighted key volleyball part visible in this frame?,visible|partially_visible|hidden|occluded_by_human|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,119,4.916667,keypart_visibility_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00119_keypart_visibility_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00119_keypart_visibility_check.png,visibility_crop_or_overlay,Is the highlighted key volleyball part visible in this frame?,visible|partially_visible|hidden|occluded_by_human|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage2,240,9.958333,keypart_visibility_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00240_keypart_visibility_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage2/evidence/frame00240_keypart_visibility_check.png,visibility_crop_or_overlay,Is the highlighted key volleyball part visible in this frame?,visible|partially_visible|hidden|occluded_by_human|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
