case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
mug,stage0,1,0.000000,target_mask_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00001.png,,mask_or_bbox_overlay,Does the highlighted mask correspond to the target mug?,yes|partially|wrong_object|missing_object|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage0,121,5.000000,target_mask_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00121.png,,mask_or_bbox_overlay,Does the highlighted mask correspond to the target mug?,yes|partially|wrong_object|missing_object|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage0,240,9.958333,target_mask_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00240.png,,mask_or_bbox_overlay,Does the highlighted mask correspond to the target mug?,yes|partially|wrong_object|missing_object|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,1,0.000000,keypart_identity_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00001.png,,semantic_part_overlay,Which mug part is highlighted?,cup_body|handle|rim|bottom|background|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,1,0.000000,track_stability_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00001.png,,"track_triplet_overlay:cup_body,handle,rim,bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,121,5.000000,keypart_identity_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00121.png,,semantic_part_overlay,Which mug part is highlighted?,cup_body|handle|rim|bottom|background|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,121,5.000000,track_stability_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00121.png,,"track_triplet_overlay:cup_body,handle,rim,bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,240,9.958333,keypart_identity_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00240.png,,semantic_part_overlay,Which mug part is highlighted?,cup_body|handle|rim|bottom|background|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage1,240,9.958333,track_stability_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/frames/00240.png,,"track_triplet_overlay:cup_body,handle,rim,bottom,unclear",Is the highlighted reference point or part stable and visually trackable across neighboring frames?,stable|unstable_due_to_occlusion|unstable_not_real_part|wrong_part|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
mug,stage2,1,0.000000,contact_relation_check,/mnt/hdd/AudioHOI/samples_known_object/02_mug/results/generic_pipeline_v2_llm_vlm_gate/vlm/stage2/evidence/frame00001_contact_relation_check.png,/mnt/hdd/AudioHOI/samples_known_object/02_mug/results/generic_pipeline_v2_llm_vlm_gate/vlm/stage2/evidence/frame00001_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,mistral_llm_schema_validated,cup_body|handle|rim|bottom|background|unclear,palm_on_handle|palm_on_cup_body|mouth_on_rim|table_support_bottom|table_support|static_after_place|handle_visibility_for_grasp|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
